Attrition,Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,MonthlySalary,Allowances,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards&Wages_Satisfaction,Get_ Deserved_Promotion,Training_programs_ During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,JobTitle_Freq,Maritalstatus_Married,Maritalstatus_Single,Sector_Economic sector,Sector_Education sector,Sector_Energy sector,Sector_Engineering consulting companies,"Sector_Environment, Water, and Agriculture sector",Sector_Financial sector,Sector_Food production sector,Sector_Industry sector,Sector_Law firm,Sector_Media sector,Sector_Medical sector,Sector_Restaurant sector,Sector_Tourism sector,Sector_Transport sector,Sector_education sector,Department_Administration,Department_Banking operations,Department_Customers service,Department_Engineering,Department_HR,Department_Information technology,Department_Legal Affairs,Department_Marketing,Department_Medical service,Department_Patient Affairs,Department_Processes,Department_Production,Department_Relations,Department_Safety & Security,Department_Sales,Department_Studies and design,Department_Teaching,Department_Technical support,Department_Training,Department_Treasury,Department_patient Affairs,Department_technical support,Total_Satisfaction,Pressure_Score,Overall_Engagement,Stability_Ratio,Career_Velocity,Effective_Training_Score,Life_Work_Imbalance
1,0,35.5,2,5.0,5.0,7500.0,2,0,0,0,0,1,1,2.0,1,0,1,0,1,1,1,1,2,0,0,1,1,0,1,0.03610411418975651,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,2,4,0.9803921568627452,1250.0,2.0,2
0,0,25.5,2,5.0,5.0,13000.0,2,1,1,0,0,1,1,2.0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0.03610411418975651,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,0,5,0.9803921568627452,2166.6666666666665,2.0,2
0,0,25.5,1,5.0,5.0,5000.0,0,0,0,0,0,0,0,2.0,1,0,1,1,0,1,0,1,2,1,0,0,1,1,1,0.1385390428211587,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,3,3,4,0.9803921568627452,833.3333333333334,2.0,1
0,0,25.5,1,5.0,5.0,5000.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0.1385390428211587,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,4,1,0.9803921568627452,833.3333333333334,0.0,2
0,0,25.5,1,5.0,5.0,5000.0,0,0,0,1,0,0,0,0.0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0.1385390428211587,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,3,3,0.9803921568627452,833.3333333333334,0.0,2
0,0,25.5,1,5.0,5.0,5000.0,0,0,0,0,0,0,0,5.0,1,0,0,0,1,1,0,1,2,2,0,0,0,0,1,0.1385390428211587,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,4,2,0.9803921568627452,833.3333333333334,5.0,1
1,0,35.5,1,5.0,5.0,5000.0,0,0,0,1,0,0,0,2.0,1,0,1,1,1,1,0,2,2,2,0,0,1,1,0,0.1385390428211587,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,3,5,5,0.9803921568627452,833.3333333333334,2.0,2
0,0,35.5,1,7.5,7.5,13000.0,0,0,0,0,0,1,1,7.0,1,0,1,1,2,1,1,1,1,1,1,0,1,2,1,0.1385390428211587,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,4,2,7,0.986842105263158,1529.4117647058824,7.0,2
1,0,35.5,2,7.5,5.0,5000.0,0,0,1,0,0,0,0,2.0,1,0,0,1,2,1,1,2,2,2,0,0,1,1,0,0.1385390428211587,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2,4,5,0.6578947368421053,588.2352941176471,2.0,3
1,0,25.5,1,5.0,5.0,5000.0,1,1,1,1,1,1,1,2.0,1,2,2,1,2,2,2,2,2,2,1,1,2,2,1,0.016792611251049538,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,6,6,10,0.9803921568627452,833.3333333333334,2.0,4
0,0,35.5,0,5.0,5.0,7500.0,1,0,1,1,1,1,1,2.0,1,0,2,1,2,0,0,0,1,1,1,0,2,2,0,0.047019311502938706,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,4,8,0.9803921568627452,1250.0,2.0,0
1,0,35.5,1,7.5,7.5,5000.0,0,0,0,0,0,1,0,2.0,1,0,2,1,1,1,0,0,0,0,1,0,2,2,1,0.08060453400503778,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,0,8,0.986842105263158,588.2352941176471,2.0,0
0,0,45.5,1,13.0,13.0,7500.0,0,0,0,0,0,0,0,5.0,1,0,0,1,1,1,0,2,0,1,1,0,1,0,0,0.047019311502938706,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,3,0.9923664122137404,535.7142857142857,5.0,2
0,0,35.5,1,13.0,13.0,13000.0,1,0,0,0,0,1,0,5.0,1,0,1,1,2,1,1,1,2,2,1,0,1,1,0,0.1385390428211587,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,3,4,6,0.9923664122137404,928.5714285714286,5.0,2
0,0,45.5,1,18.0,18.0,13000.0,1,0,0,0,0,1,1,5.0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0.1385390428211587,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,3,1,5,0.9944751381215469,684.2105263157895,5.0,1
0,0,45.5,1,23.0,23.0,7500.0,1,0,0,0,0,1,1,7.0,1,0,2,1,2,0,0,0,1,1,1,0,2,2,0,0.1385390428211587,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6,2,8,0.9956709956709956,312.5,7.0,0
0,0,45.5,1,13.0,13.0,13000.0,0,0,0,0,0,1,1,7.0,1,0,1,1,1,1,0,1,1,1,1,0,1,2,0,0.1385390428211587,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,4,2,6,0.9923664122137404,928.5714285714286,7.0,1
